job_title,experience_years,salary_mid,source_name
front end engineer,1.5,12500.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,6.0,53000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,21000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,7000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,2.5,27000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,7.0,38000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,6.0,130000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.0,7000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,26500.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,25000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,10000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,30000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,2.5,60000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,7500.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,2.5,16000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.0,7500.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,2.5,50000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,20000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,6.0,50000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,60000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,11839.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,7500.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.0,6000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,27500.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,11000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,33000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,299000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,6.0,30000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,2.5,18000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,4.0,100000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.5,6000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.0,7000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,2.5,65000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,7.0,140000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
front end engineer,1.0,8000.0,Kaggle_Front_End_Developer_salaries_in_Egypt_2023
